,thermal,rgb
0,540,2103
1,538,2128
2,541,2144
3,542,2128
4,621,2458
5,585,2315
6,551,2162
7,533,2110
8,530,2099
9,536,530
10,553,2189
11,555,2198
12,550,2177
13,551,2184
14,534,2114
15,543,2150
16,543,2149
17,536,543
18,536,2125
19,618,2444
20,543,2149
21,595,2355
22,542,2148
23,570,2256
24,581,2298
25,593,2348
26,503,1992
27,511,2022
28,470,1857
29,510,2019
30,549,2172
31,959,3767
32,769,3046
33,983,3844
34,942,3731
35,584,2311
36,282,1117
37,615,2435
38,577,2286
39,561,2221
40,942,3731
41,970,3843
42,932,3668
43,579,2291
44,948,0
45,675,2671
46,503,2107
47,662,2624
48,604,2507
49,761,3014
50,947,3752
51,543,2149
52,549,2173
53,609,2408
54,599,2368
55,688,2724
56,579,2291
57,673,2664
58,567,2242
59,556,2200
60,561,2223
61,555,0
62,925,3665
63,671,2654
64,919,0
65,928,3677
66,595,2354
67,983,3891
68,992,3932
69,585,2315
70,534,2113
71,574,2270
72,568,2250
73,532,2105
74,539,2133
75,584,2313
76,564,2232
77,629,564
78,995,3942
79,552,2186
80,512,2025
81,638,512
82,559,2210
83,570,2243
84,565,2235
85,981,3885
86,985,0
87,1015,4021
88,1017,1015
89,993,3935
90,568,2248
91,532,2105
92,581,2301
93,570,2259
94,556,2200
95,574,2274
96,577,2284
97,536,2120
98,531,2102
99,553,2189
100,546,2162
101,549,0
102,545,2159
103,572,2265
104,560,2218
105,557,2206
106,534,2114
107,528,2089
108,944,0
109,542,2144
110,591,0
111,572,2263
112,575,2276
113,555,2194
114,564,2232
115,585,2315
116,586,2322
117,541,2144
118,524,2077
119,497,1969
